match_id,season,match_date,match_time,match_year,match_month,iso_weekday,home_team,away_team,home_goals_ft,away_goals_ft,result_ft,home_goals_ht,away_goals_ht,result_ht,total_goals,goal_diff_home,both_teams_scored,over_2_5,clean_sheet_home,clean_sheet_away,home_points,away_points,source_coverage,has_detailed_stats,league_code,shots_home,shots_away,shots_on_target_home,shots_on_target_away,fouls_home,fouls_away,corners_home,corners_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,odds_avg_home_open,odds_avg_draw_open,odds_avg_away_open,odds_avg_over_2_5_open,odds_avg_under_2_5_open,asian_handicap_line_open,odds_avg_asian_home_open,odds_avg_asian_away_open,odds_avg_home_close,odds_avg_draw_close,odds_avg_away_close,odds_avg_over_2_5_close,odds_avg_under_2_5_close,asian_handicap_line_close,odds_avg_asian_home_close,odds_avg_asian_away_close
2008-04-05_osasuna_recreativo,2007-08,2008-04-05,,2008,4,6,Osasuna,Recreativo,0,1,A,0,1,A,1,-1,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-06_ath_bilbao_espanol,2007-08,2008-04-06,,2008,4,7,Ath Bilbao,Espanol,1,0,H,1,0,H,1,1,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-06_ath_madrid_almeria,2007-08,2008-04-06,,2008,4,7,Ath Madrid,Almeria,6,3,H,4,3,H,9,3,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-06_barcelona_getafe,2007-08,2008-04-06,,2008,4,7,Barcelona,Getafe,0,0,D,0,0,D,0,0,False,False,True,True,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-06_levante_valladolid,2007-08,2008-04-06,,2008,4,7,Levante,Valladolid,0,3,A,0,1,A,3,-3,False,True,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-06_murcia_valencia,2007-08,2008-04-06,,2008,4,7,Murcia,Valencia,1,0,H,1,0,H,1,1,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-06_santander_la_coruna,2007-08,2008-04-06,,2008,4,7,Santander,La Coruna,1,3,A,1,3,A,4,-2,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-06_sevilla_villarreal,2007-08,2008-04-06,,2008,4,7,Sevilla,Villarreal,2,0,H,1,0,H,2,2,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-06_zaragoza_betis,2007-08,2008-04-06,,2008,4,7,Zaragoza,Betis,0,3,A,0,2,A,3,-3,False,True,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-12_recreativo_barcelona,2007-08,2008-04-12,,2008,4,6,Recreativo,Barcelona,2,2,D,1,1,D,4,0,True,True,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-12_valencia_santander,2007-08,2008-04-12,,2008,4,6,Valencia,Santander,1,2,A,0,0,D,3,-1,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-13_almeria_villarreal,2007-08,2008-04-13,,2008,4,7,Almeria,Villarreal,1,0,H,0,0,D,1,1,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-13_betis_levante,2007-08,2008-04-13,,2008,4,7,Betis,Levante,0,1,A,0,0,D,1,-1,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-13_espanol_osasuna,2007-08,2008-04-13,,2008,4,7,Espanol,Osasuna,0,1,A,0,1,A,1,-1,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-13_getafe_zaragoza,2007-08,2008-04-13,,2008,4,7,Getafe,Zaragoza,0,0,D,0,0,D,0,0,False,False,True,True,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
